Year,County,Total Sites Visited,Total Ticks Collected,Tick Population Density,Total Tested,B. burgdorferi (%),A. phagocytophilum (%),B. microti (%),B. miyamotoi (%),County Centroid
2014,Steuben,4,99,16.8,72,1.40%,0%,0%,,"(42.2667252, -77.3855253)"
2015,Steuben,4,70,10.1,70,14.30%,0%,0%,0%,"(42.2667252, -77.3855253)"
2016,Steuben,4,139,21.5,92,35.90%,1.10%,1.10%,0%,"(42.2667252, -77.3855253)"
2017,Steuben,4,187,25.4,107,57.90%,1.90%,0%,0%,"(42.2667252, -77.3855253)"
2014,Suffolk,2,310,40.9,111,55%,18%,22.50%,,"(40.943554, -72.6922184)"
2015,Suffolk,1,119,66.4,60,70%,20%,20%,5%,"(40.943554, -72.6922184)"
2016,Suffolk,7,633,93.7,348,58.90%,21%,10.30%,2.60%,"(40.943554, -72.6922184)"
2017,Suffolk,8,1466,125.2,376,60.60%,14.90%,18.10%,1.90%,"(40.943554, -72.6922184)"
2008,Sullivan,2,116,36.6,50,6%,0%,0%,,"(41.7201763, -74.7646796)"
2009,Sullivan,1,109,68.5,50,44%,0%,0%,,"(41.7201763, -74.7646796)"
2010,Sullivan,1,55,39.5,0,,,,,"(41.7201763, -74.7646796)"
2011,Sullivan,1,122,151.8,50,32%,10%,0%,,"(41.7201763, -74.7646796)"
2012,Sullivan,1,63,38.8,50,66%,18%,0%,,"(41.7201763, -74.7646796)"
2013,Sullivan,6,188,21.6,122,37.70%,8.20%,1.60%,,"(41.7201763, -74.7646796)"
2014,Sullivan,4,172,26.4,95,50.50%,4.20%,4.20%,,"(41.7201763, -74.7646796)"
2015,Sullivan,6,207,23,136,53.70%,14%,11.80%,3.70%,"(41.7201763, -74.7646796)"
2016,Sullivan,6,290,38,191,61.30%,15.70%,10.50%,0.50%,"(41.7201763, -74.7646796)"
2017,Sullivan,3,233,60.1,128,56.30%,9.40%,7%,0%,"(41.7201763, -74.7646796)"
2015,Tioga,1,2,2,2,0%,0%,0%,0%,"(42.1780568, -76.2974503)"
2017,Tioga,2,4,1.3,4,0%,0%,0%,0%,"(42.1780568, -76.2974503)"
2008,Tompkins,1,100,1031,100,18%,8%,0%,,"(42.4532811, -76.4737116)"
2013,Tompkins,2,11,5.5,11,9.10%,0%,0%,,"(42.4532811, -76.4737116)"
2014,Tompkins,2,18,9,18,61.10%,5.60%,0%,,"(42.4532811, -76.4737116)"
2015,Tompkins,1,0,0,0,,,,,"(42.4532811, -76.4737116)"
2016,Tompkins,2,166,139.7,75,58.70%,0%,0%,0%,"(42.4532811, -76.4737116)"
2017,Tompkins,2,174,53.7,95,49.50%,8.40%,0%,2.10%,"(42.4532811, -76.4737116)"
2008,Ulster,1,119,50,50,32%,8%,0%,,"(41.9472321, -74.265447)"
2009,Ulster,1,113,27.1,50,36%,12%,0%,,"(41.9472321, -74.265447)"
2010,Ulster,1,74,35,50,44%,2%,0%,,"(41.9472321, -74.265447)"
2011,Ulster,1,84,77.6,50,32%,4%,0%,,"(41.9472321, -74.265447)"
2012,Ulster,1,59,30.5,50,42%,6%,4%,,"(41.9472321, -74.265447)"
2013,Ulster,1,118,32,50,56%,6%,0%,,"(41.9472321, -74.265447)"
2014,Ulster,2,130,37.4,68,55.90%,4.40%,4.40%,,"(41.9472321, -74.265447)"
2017,Ulster,3,209,41.6,135,42.20%,3%,11.10%,2.20%,"(41.9472321, -74.265447)"
2009,Warren,1,69,25.1,67,37.30%,0%,0%,,"(43.5551053, -73.8381388)"
2012,Warren,1,77,15.1,50,58%,2%,0%,,"(43.5551053, -73.8381388)"
2013,Warren,4,60,11.3,60,48.30%,0%,0%,,"(43.5551053, -73.8381388)"
2014,Warren,4,166,17.5,93,57%,0%,0%,,"(43.5551053, -73.8381388)"
2015,Warren,6,79,5.9,79,49.40%,2.50%,3.80%,1.30%,"(43.5551053, -73.8381388)"
2016,Warren,3,56,6.9,56,57.10%,8.90%,0%,5.40%,"(43.5551053, -73.8381388)"
2017,Warren,2,52,12.9,52,61.50%,13.50%,1.90%,0%,"(43.5551053, -73.8381388)"
2008,Washington,1,81,15,50,6%,4%,0%,,"(43.3123766, -73.4394282)"
2010,Washington,1,47,22.1,47,21.30%,2.10%,2.10%,,"(43.3123766, -73.4394282)"
2013,Washington,4,186,28.7,131,41.20%,4.60%,0%,,"(43.3123766, -73.4394282)"
2014,Washington,4,371,74.1,129,76%,5.40%,1.60%,,"(43.3123766, -73.4394282)"
2015,Washington,4,266,53,153,62.70%,8.50%,5.20%,0.70%,"(43.3123766, -73.4394282)"
2016,Washington,3,216,66.9,150,52%,13.30%,0.70%,2%,"(43.3123766, -73.4394282)"
2017,Washington,3,140,31.7,104,43.30%,3.80%,9.60%,0%,"(43.3123766, -73.4394282)"
2014,Wayne,2,2,1,2,50%,0%,0%,,"(43.112841, -77.027175)"
2015,Wayne,3,13,3.3,13,7.70%,0%,0%,0%,"(43.112841, -77.027175)"
2017,Wayne,1,0,0,0,,,,,"(43.112841, -77.027175)"
2008,Westchester,1,89,30,50,16%,20%,2%,,"(41.1527698, -73.745912)"
2009,Westchester,1,130,35.7,50,50%,12%,2%,,"(41.1527698, -73.745912)"
2010,Westchester,1,113,38.3,50,30%,12%,2%,,"(41.1527698, -73.745912)"
2011,Westchester,1,116,168.4,50,10%,16%,0%,,"(41.1527698, -73.745912)"
2012,Westchester,1,58,17.7,50,40%,10%,6%,,"(41.1527698, -73.745912)"
2013,Westchester,1,104,21.3,50,20%,6%,2%,,"(41.1527698, -73.745912)"
2014,Westchester,1,107,19.1,50,32%,6%,12%,,"(41.1527698, -73.745912)"
2015,Westchester,1,111,47.6,50,52%,14%,10%,10%,"(41.1527698, -73.745912)"
2016,Westchester,1,127,43.1,50,56%,2%,32%,4%,"(41.1527698, -73.745912)"
2017,Westchester,1,104,21.1,50,34%,6%,6%,2%,"(41.1527698, -73.745912)"
2009,Wyoming,1,0,0,0,,,,,"(42.7013627, -78.2285667)"
2013,Wyoming,1,0,0,0,,,,,"(42.7013627, -78.2285667)"
2014,Wyoming,1,77,43.8,50,54%,4%,0%,,"(42.7013627, -78.2285667)"
2015,Wyoming,2,74,24.7,56,39.30%,5.40%,0%,0%,"(42.7013627, -78.2285667)"
2016,Wyoming,1,72,72,52,36.50%,0%,0%,0%,"(42.7013627, -78.2285667)"
2017,Wyoming,1,53,42.4,50,22%,4%,0%,0%,"(42.7013627, -78.2285667)"
2009,Yates,1,1,0.8,1,0%,0%,0%,,"(42.638237, -77.1043238)"
2013,Yates,2,6,1.5,6,16.70%,0%,0%,,"(42.638237, -77.1043238)"
2014,Yates,1,3,3,3,33.30%,0%,0%,,"(42.638237, -77.1043238)"
2015,Yates,4,81,6.9,68,38.20%,1.50%,0%,8.80%,"(42.638237, -77.1043238)"
2017,Yates,1,50,20,50,50%,4%,0%,0%,"(42.638237, -77.1043238)"
